START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02-26-19,2:05 PM,3:05 PM,Padres at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,2-26-19,2-26-19,5:05 PM,6:05 PM,FALSE,TRUE,2-26-19,1:05 PM,2:05 PM,FREE,BUSY
02-27-19,2:05 PM,3:05 PM,Indians at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: 94.5 ESPN Milwaukee,2-27-19,2-27-19,5:05 PM,6:05 PM,FALSE,TRUE,2-27-19,1:05 PM,2:05 PM,FREE,BUSY
02-28-19,2:05 PM,3:05 PM,Giants at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI,2-28-19,2-28-19,5:05 PM,6:05 PM,FALSE,TRUE,2-28-19,1:05 PM,2:05 PM,FREE,BUSY
03-03-19,2:05 PM,3:05 PM,Reds at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,3-3-19,3-3-19,5:05 PM,6:05 PM,FALSE,TRUE,3-3-19,1:05 PM,2:05 PM,FREE,BUSY
03-06-19,2:05 PM,3:05 PM,D-backs at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,3-6-19,3-6-19,5:05 PM,6:05 PM,FALSE,TRUE,3-6-19,1:05 PM,2:05 PM,FREE,BUSY
03-08-19,1:05 PM,2:05 PM,D-backs at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,3-8-19,3-8-19,4:05 PM,5:05 PM,FALSE,TRUE,3-8-19,12:05 PM,1:05 PM,FREE,BUSY
03-10-19,3:05 PM,4:05 PM,Cubs at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: 94.5 ESPN Milwaukee,3-10-19,3-10-19,6:05 PM,7:05 PM,FALSE,TRUE,3-10-19,2:05 PM,3:05 PM,FREE,BUSY
03-11-19,3:05 PM,4:05 PM,White Sox at Brewers,American Family Fields of Phoenix - Phoenix,Local Radio: 94.5 ESPN Milwaukee,3-11-19,3-11-19,6:05 PM,7:05 PM,FALSE,TRUE,3-11-19,2:05 PM,3:05 PM,FREE,BUSY
03-14-19,3:05 PM,4:05 PM,Angels at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,3-14-19,3-14-19,6:05 PM,7:05 PM,FALSE,TRUE,3-14-19,2:05 PM,3:05 PM,FREE,BUSY
03-15-19,3:05 PM,4:05 PM,Padres at Brewers,American Family Fields of Phoenix - Phoenix,Local Radio: MLB.com,3-15-19,3-15-19,6:05 PM,7:05 PM,FALSE,TRUE,3-15-19,2:05 PM,3:05 PM,FREE,BUSY
03-16-19,3:05 PM,4:05 PM,Rockies at Brewers,American Family Fields of Phoenix - Phoenix,Local Radio: WTMJ 620,3-16-19,3-16-19,6:05 PM,7:05 PM,FALSE,TRUE,3-16-19,2:05 PM,3:05 PM,FREE,BUSY
03-19-19,3:05 PM,4:05 PM,Rangers at Brewers,American Family Fields of Phoenix - Phoenix,Local Radio: WTMJ 620,3-19-19,3-19-19,6:05 PM,7:05 PM,FALSE,TRUE,3-19-19,2:05 PM,3:05 PM,FREE,BUSY
03-21-19,3:05 PM,4:05 PM,Dodgers at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,3-21-19,3-21-19,6:05 PM,7:05 PM,FALSE,TRUE,3-21-19,2:05 PM,3:05 PM,FREE,BUSY
03-22-19,3:05 PM,4:05 PM,Reds at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI,3-22-19,3-22-19,6:05 PM,7:05 PM,FALSE,TRUE,3-22-19,2:05 PM,3:05 PM,FREE,BUSY
03-23-19,3:05 PM,4:05 PM,Royals at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,3-23-19,3-23-19,6:05 PM,7:05 PM,FALSE,TRUE,3-23-19,2:05 PM,3:05 PM,FREE,BUSY
03-28-19,1:10 PM,2:10 PM,Cardinals at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,3-28-19,3-28-19,4:10 PM,5:10 PM,FALSE,TRUE,3-28-19,12:10 PM,1:10 PM,FREE,BUSY
03-29-19,7:10 PM,8:10 PM,Cardinals at Brewers,Miller Park - Milwaukee,Local TV: FSWI- MLBN (out-of-market only) ----- Local Radio: WTMJ 620,3-29-19,3-29-19,10:10 PM,11:10 PM,FALSE,TRUE,3-29-19,6:10 PM,7:10 PM,FREE,BUSY
03-30-19,6:10 PM,7:10 PM,Cardinals at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,3-30-19,3-30-19,9:10 PM,10:10 PM,FALSE,TRUE,3-30-19,5:10 PM,6:10 PM,FREE,BUSY
03-31-19,1:10 PM,2:10 PM,Cardinals at Brewers,Miller Park - Milwaukee,Local TV: FSWI- WYTU ----- Local Radio: WTMJ 620,3-31-19,3-31-19,4:10 PM,5:10 PM,FALSE,TRUE,3-31-19,12:10 PM,1:10 PM,FREE,BUSY
